"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
"K",77,77,77,77,77,78,78,78,78,78,79,80,85,87,87,88,89,93,92,98,101,98,99,96,93,108,109,108,114,103,78,71,69,68,69,72,71,74,72,74,59,59,61,55,53,56,56,57,55,57,56,52,52,49,48,51,50,48,48,40,25,21,20,18,16,10,8,8,5,4,3,3,2,2,2,2,3,2,2
"IncDrugs",371,371,371,371,371,384,384,384,383,384,376,388,391,391,387,390,390,390,394,394,404,403,404,393,387,404,408,406,408,388,321,307,299,293,294,291,288,288,287,287,243,234,234,218,217,218,214,215,212,209,206,194,195,187,186,184,170,166,167,151,117,108,101,87,74,43,39,36,30,24,20,19,15,14,13,13,14,13,13
"EnrichedClusters",8,8,8,8,8,9,9,9,9,9,9,10,14,17,16,17,18,18,19,21,19,17,18,17,7,19,21,21,23,24,16,8,9,12,9,13,9,9,8,7,8,12,13,9,8,15,12,16,14,12,13,12,10,9,10,10,10,7,7,6,6,6,7,6,5,2,2,2,2,2,2,2,1,1,1,1,2,1,1
"Percentage",10.39,10.39,10.39,10.39,10.39,11.54,11.54,11.54,11.54,11.54,11.39,12.5,16.47,19.54,18.39,19.32,20.22,19.35,20.65,21.43,18.81,17.35,18.18,17.71,7.53,17.59,19.27,19.44,20.18,23.3,20.51,11.27,13.04,17.65,13.04,18.06,12.68,12.16,11.11,9.46,13.56,20.34,21.31,16.36,15.09,26.79,21.43,28.07,25.45,21.05,23.21,23.08,19.23,18.37,20.83,19.61,20,14.58,14.58,15,24,28.57,35,33.33,31.25,20,25,25,40,50,66.67,66.67,50,50,50,50,66.67,50,50
"EnrichedClustersDT",7,7,7,7,7,8,8,9,9,8,7,8,13,14,14,15,16,17,18,19,19,17,17,16,8,19,21,21,23,23,18,11,10,11,10,13,13,14,11,9,8,10,12,11,11,9,7,8,8,8,6,6,4,3,3,2,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"PercentageDT",9.09,9.09,9.09,9.09,9.09,10.26,10.26,11.54,11.54,10.26,8.86,10,15.29,16.09,16.09,17.05,17.98,18.28,19.57,19.39,18.81,17.35,17.17,16.67,8.6,17.59,19.27,19.44,20.18,22.33,23.08,15.49,14.49,16.18,14.49,18.06,18.31,18.92,15.28,12.16,13.56,16.95,19.67,20,20.75,16.07,12.5,14.04,14.55,14.04,10.71,11.54,7.69,6.12,6.25,3.92,4,4.17,4.17,5,8,9.52,15,16.67,18.75,10,12.5,12.5,20,25,33.33,33.33,0,0,0,0,0,0,0
"Pval_ATC",0.0132149850998187,0.0132149850998187,0.0132149850998187,0.0132149850998187,0.046017930391588,0.00730249401571523,0.00730249401571523,0.00730249401571523,0.0165289263695647,0.00730249401571523,0.0467777284637923,0.0171747088906905,0.0343138934393651,0.0104609831785246,0.0365946353357606,0.0233072939624727,0.0252982683948003,0.0283186989053459,6.89591568434567e-05,0.0252982683948003,4.54724752362916e-05,4.88243888200639e-07,2.45778017127281e-08,3.47360929640217e-06,2.63570039953741e-06,7.69768725314164e-05,0.000347130432366011,0.000853137134474437,0.000261197212287365,0.0022334412354435,0.0028684965465809,0.0207603585420835,0.00555789683842179,0.000247729640477372,0.00262646058983735,0.00254421257711554,7.04884474748274e-05,0.0154939838735899,0.0161339966771611,0.0376449424259179,0.000158497550980395,0.000638299896752861,0.00309728860257,0.000235587607583359,1.13431799881863e-05,0.000305948113709288,0.0600317893793104,0.000715471386343366,0.00356552537122884,0.00101061264517709,0.00239658195997988,0.000202571073918529,0.021056545253631,0.01705303963187,0.00131196393590265,0.00252430568789871,1.13630927231037e-05,4.15220451696459e-06,0.000235948215036253,1.68260339589802e-05,6.98257920667054e-06,0.000124220908404433,6.98257920667054e-06,3.1589068642295e-06,1.43417453195476e-06,0.00118163891304559,0.00118163891304559,0.00118163891304559,0.00118163891304559,0.000223433092093564,0.0242384924088002,0.0611848695352074,0.191961661562319,0.191961661562319,0.191961661562319,0.191961661562319,0.101090110786162,0.101090110786162,0.101090110786162
"Pval_DT",8.62016009121662e-08,8.62016009121662e-08,8.62016009121662e-08,8.62016009121662e-08,3.44905501575654e-07,7.80579200245216e-12,7.80579200245216e-12,7.80579200245216e-12,4.1376120971936e-10,7.80579200245216e-12,3.62741530819445e-07,4.40113489574101e-10,1.63034447306007e-07,5.02437193633801e-08,1.10081895720628e-08,1.08559566947148e-08,2.28577549351949e-09,1.7729461157109e-09,7.72428069354964e-19,6.26524534256515e-07,1.12475069639312e-13,5.92998649901429e-16,5.25198763195341e-19,3.65257384609927e-17,1.04557845185145e-11,3.58467046862329e-09,3.11791964559884e-09,8.05184270704196e-11,5.41087984022348e-12,9.22752000110041e-10,2.31492980775809e-08,3.11207557424436e-07,2.19884989366037e-07,1.71752570501085e-10,3.60675650762898e-08,7.7429111261959e-08,2.3313682959999e-10,8.76366338144641e-08,4.06831898242517e-08,1.23549834109292e-06,1.70104336164759e-09,1.22115980263025e-08,2.97013548284864e-06,3.97822194890395e-08,4.93293003353827e-10,1.34085946188339e-06,0.000179848688777231,4.55255664681951e-05,5.21977850973285e-05,8.7378341836416e-05,4.04858957790273e-08,1.68101550054728e-08,0.000253394456332605,0.000922962200065087,1.32218514431576e-07,2.34509901354961e-07,7.8156858410973e-08,3.32309964640573e-08,2.75057407956341e-06,7.92003216563246e-07,5.97027350872801e-07,1.72283918669979e-06,1.15197751877229e-07,7.8156858410973e-08,3.89667543941738e-10,3.14658198168091e-05,3.14658198168091e-05,3.14658198168091e-05,3.14658198168091e-05,3.14658198168091e-05,0.0395948427777367,0.0395948427777367,1,1,1,1,1,1,1
"ARIndex",0.233425845485673,0.233425845485673,0.233425845485673,0.233425845485673,0.221520422887103,0.215195145982187,0.215195145982187,0.215195145982187,0.214621151526369,0.215195145982187,0.220605444381835,0.214135071010538,0.206115899015822,0.206322746196467,0.218753104490611,0.218896127726831,0.218460070208485,0.217265337903813,0.265128900033391,0.231570387018586,0.265291837975759,0.294273476297934,0.315371839125138,0.313124611462765,0.338523329720264,0.291303411918884,0.286193419157765,0.290643099312874,0.285974914953608,0.285011043457586,0.343393432695604,0.374239220995092,0.370760548031548,0.382548288245816,0.379327711302415,0.370958713377514,0.374906182711935,0.389492698771415,0.381020712275197,0.373879759877541,0.392717455961414,0.365272466528222,0.36588491619988,0.358538235680912,0.400217150388613,0.351341110538223,0.354532116832831,0.35066335415179,0.348641661553433,0.355997728950915,0.358734015468801,0.365257130613427,0.346463159679836,0.420570766857706,0.412666559810641,0.459320555292956,0.511486169908925,0.531948103444543,0.51289438008252,0.579445416770594,0.616311676423009,0.589106292966684,0.570651831508407,0.643445333289674,0.614465237639383,0.698840008754651,0.638312752704623,0.657777777777778,0.791730788960706,0.84390243902439,0.840336134453782,0.826097160291012,0.754716981132076,0.912162162162162,1,1,0.646258503401361,0.796875,0.796875
"Overlap_ATC",0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.375,0.375,0.375,0.375,0.3125,0.375,0.375,0.4375,0.375,0.3125,0.3125,0.4375,0.4375,0.5,0.4375,0.4375,0.4375,0.4375,0.375,0.5,0.5,0.5,0.5,0.4375,0.3125,0.1875,0.25,0.3125,0.1875,0.1875,0.1875,0.125,0.1875,0.125,0.125,0.125,0.1875,0.1875,0.1875,0.375,0.25,0.375,0.3125,0.3125,0.3125,0.375,0.25,0.1875,0.25,0.1875,0.125,0.125,0.125,0.1875,0.1875,0.125,0.1875,0.1875,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
"Overlap_DT",0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.260869565217391,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.260869565217391,0.478260869565217,0.521739130434783,0.521739130434783,0.521739130434783,0.478260869565217,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.478260869565217,0.478260869565217,0.391304347826087,0.434782608695652,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.434782608695652,0.478260869565217,0.434782608695652,0.391304347826087,0.434782608695652,0.347826086956522,0.391304347826087,0.434782608695652,0.391304347826087,0.434782608695652,0.391304347826087,0.391304347826087,0.434782608695652,0.391304347826087,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.173913043478261,0.173913043478261,0.173913043478261,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0,0,0,0,0,0,0
