"","V1","V2","V3","V4","V5","V6","V7"
"K",2,5,7,12,13,15,19
"IncDrugs",1309,1309,1309,1309,1309,1309,1309
"EnrichedClusters",0,1,2,2,2,4,5
"Percentage",0,20,28.57,16.67,15.38,26.67,26.32
"EnrichedClustersDT",0,1,1,4,6,7,8
"PercentageDT",0,20,14.29,33.33,46.15,46.67,42.11
"Pval_ATC",1.92010311905676e-27,1.38315252484166e-17,4.94244586514922e-13,2.69232297025324e-19,3.30747804053054e-18,2.014478669276e-28,6.59996581066403e-14
"Pval_DT",0.000738710221201409,9.32268674307736e-12,2.10554188906907e-13,3.77955934290235e-18,2.75400835984984e-21,1.73636798259792e-24,2.28371407308678e-28
"ARIndex",0.0241072385512043,0.0831172253182495,0.136584620686342,0.195855115162257,0.207886768130116,0.236204783698433,0.301110262946024
"Overlap_ATC",0,0.0625,0.0625,0.125,0.125,0.25,0.3125
"Overlap_DT",0,0.260869565217391,0.260869565217391,0.434782608695652,0.521739130434783,0.565217391304348,0.608695652173913
"Silhouette",0.0486108853836349,0.0245818794213222,0.00783657971880333,0.00610542506821388,0.00646138956153977,0.00450606242671571,0.0048032911728359
